C,DBE 1,DBE,H,KMD,N,O,S,class,intensity 1,intensity,isotope kind,m/z,ppm,s/n,theo
22,16,16,13,0.597214191,,17,,O17,11783853,11783853,,549.0157,0.221814919,17.8,549.0158218
26,20,20,13,0.581975027,,14,,O14,10044567,10044567,,549.03115,-0.131176727,14.9,549.031078
23,15,15,17,0.56086942,,16,,O16,52633209,52633209,,549.05212,0.158782533,86.9,549.0522072
27,19,19,17,0.545630255,,13,,O13,14482531,14482531,,549.06738,0.151857296,22.4,549.0674634
24,14,14,21,0.524524648,,15,,O15,66094661,66094661,,549.0885,0.16860649,109.7,549.0885926
28,18,18,21,0.509285483,,12,,O12,9492271,9492271,,549.10403,-0.330028829,14,549.1038488
25,13,13,25,0.488179876,,14,,O14,56911377,56911377,,549.12497,0.014532029,94.2,549.124978
29,17,17,25,0.472940711,,11,,O11,9463804,9463804,,549.14008,0.280765987,13.9,549.1402342
26,12,12,29,0.451835104,,13,,O13,78392797,78392797,,549.1613,0.115412162,130.5,549.1613634
30,16,16,29,0.43659594,,10,,O10,8088520,8088520,,549.17665,-0.055392198,11.6,549.1766196
27,11,11,33,0.415490333,,12,,O12,85024170,85024170,,549.1977,0.088820284,141.7,549.1977488
28,10,10,37,0.379145561,,11,,O11,56227190,56227190,,549.23404,0.171474958,93,549.2341342
29,9,9,41,0.342800789,,10,,O10,19924290,19924290,,549.2705,0.035647098,31.6,549.2705196
26,19,19,16,0.551492559,1,13,,N1O13,5853403,5853403,,550.06246,0.45882023,7.8,550.0627124
23,14,14,20,0.530386952,1,15,,N1O15,5862846,5862846,,550.08351,0.602780658,7.8,550.0838416
25,12,12,28,0.457697408,1,13,,N1O13,5422421,5422421,,550.1571,-0.886329618,7.1,550.1566124
25,20,20,11,0.604920491,,15,,O15,9757080,9757080,,551.01085,-0.920890337,14.4,551.0103426
22,15,15,15,0.583814884,,17,,O17,21276537,21276537,,551.03203,-1.013045767,33.9,551.0314718
26,19,19,15,0.568575719,,14,,O14,21785444,21785444,,551.04713,-0.729557186,34.8,551.046728
23,14,14,19,0.547470112,,16,,O16,55974726,55974726,,551.06825,-0.712834354,92.6,551.0678572
27,18,18,19,0.532230948,,13,,O13,19495728,19495728,,551.08355,-0.792294464,30.9,551.0831134
24,13,13,23,0.511125341,,15,,O15,52734738,52734738,,551.10461,-0.666698007,87.1,551.1042426
28,17,17,23,0.495886176,,12,,O12,17414397,17414397,,551.11981,-0.564705297,27.4,551.1194988
