C,DBE 1,DBE,H,KMD,N,O,S,class,intensity 1,intensity,isotope kind,m/z,ppm,s/n,theo
19,10,10,20,0.339116936,1,9,,N1O9,15247155,15247155,,406.1143,0.132917981,27,406.114354
20,9,9,24,0.302772164,1,8,,N1O8,7958149,7958149,,406.15075,-0.026148174,13.1,406.1507394
21,8,8,28,0.266427392,1,7,,N1O7,4807255,4807255,,406.18693,0.479532432,7.1,406.1871248
16,13,13,7,0.465234412,,13,,O13,4776680,4776680,,406.9895,-0.704244954,7.1,406.9892134
17,12,12,11,0.446628011,,10,1,O10S1,5144466,5144466,,407.00776,0.197981198,7.8,407.0078406
17,12,12,11,0.42888964,,12,,O12,79323450,79323450,,407.02565,-0.125839997,149.2,407.0255988
21,16,16,11,0.413650475,,9,,O9,11245916,11245916,,407.04096,-0.258008745,19.4,407.040855
18,11,11,15,0.392544868,,11,,O11,171803020,171803020,,407.06204,-0.137129239,325.5,407.0619842
17,11,11,15,0.381324011,2,10,,N2O10,8678821,8678821,,407.07332,-0.251601176,14.5,407.0732176
22,15,15,15,0.377305703,,8,,O8,14151599,14151599,,407.07735,-0.26928575,24.9,407.0772404
19,10,10,19,0.373938467,,8,1,O8S1,6023349,6023349,,407.08013,1.182517385,9.5,407.0806114
19,10,10,19,0.356200096,,10,,O10,234201566,234201566,,407.09838,-0.025596025,444.4,407.0983696
18,10,10,19,0.34497924,2,9,,N2O9,7467768,7467768,,407.10966,-0.140060808,12.2,407.109603
23,14,14,19,0.340960932,,7,,O7,8382976,8382976,,407.11369,-0.157744904,13.9,407.1136258
20,9,9,23,0.319855325,,9,,O9,385172016,385172016,,407.13473,0.061355361,732.2,407.134755
24,13,13,23,0.30461616,,6,,O6,7342675,7342675,,407.15004,-0.070784967,12,407.1500112
21,8,8,27,0.283510553,,8,,O8,228418178,228418178,,407.17114,0.000933023,433.4,407.1711404
22,7,7,31,0.247165781,,7,,O7,42432212,42432212,,407.20755,-0.059478518,78.9,407.2075258
17,11,11,14,0.398407172,1,11,,N1O11,15939664,15939664,,408.05724,-0.016713587,28.4,408.0572332
18,10,10,18,0.3620624,1,10,,N1O10,16786595,16786595,,408.09361,0.021024342,30,408.0936186
19,9,9,22,0.325717629,1,9,,N1O9,12628213,12628213,,408.12997,0.08325754,22,408.130004
20,8,8,26,0.289372857,1,8,,N1O8,5621063,5621063,,408.16646,-0.173017921,8.7,408.1663894
16,12,12,9,0.451835104,,13,,O13,12442028,12442028,,409.00499,-0.309580915,21.7,409.0048634
20,16,16,9,0.43659594,,10,,O10,12229327,12229327,,409.02015,-0.074373114,21.3,409.0201196
17,11,11,13,0.433228704,,10,1,O10S1,5584471,5584471,,409.02359,-0.243066969,8.6,409.0234906
17,11,11,13,0.415490333,,12,,O12,112816894,112816894,,409.04125,-0.002982829,213,409.0412488
21,15,15,13,0.400251168,,9,,O9,21954849,21954849,,409.05653,-0.061165388,39.8,409.056505
18,10,10,17,0.396883932,,9,1,O9S1,5393064,5393064,,409.05978,0.234635332,8.2,409.059876
18,10,10,17,0.379145561,,11,,O11,185680720,185680720,,409.07762,0.034663102,351.9,409.0776342
17,10,10,17,0.367924704,2,10,,N2O10,4901354,4901354,,409.08887,-0.00591583,7.3,409.0888676
22,14,14,17,0.363906396,,8,,O8,19080563,19080563,,409.09295,-0.145737316,34.3,409.0928904
19,9,9,21,0.36053916,,8,1,O8S1,4353145,4353145,,409.09571,1.3477999,6.3,409.0962614
19,9,9,21,0.342800789,,10,,O10,353219491,353219491,,409.11398,0.096745401,671.3,409.1140196
23,13,13,21,0.327561624,,7,,O7,19110341,19110341,,409.1293,-0.059199137,34.4,409.1292758
20,8,8,25,0.306456017,,9,,O9,362746869,362746869,,409.15037,0.085493989,689.5,409.150405
24,12,12,25,0.291216853,,6,,O6,12280855,12280855,,409.16563,0.076203609,21.4,409.1656612
21,7,7,29,0.270111246,,8,,O8,104371271,104371271,,409.18676,0.074244577,196.9,409.1867904
25,11,11,29,0.254872081,,5,,O5,5781609,5781609,,409.20172,0.798089606,9,409.2020466
22,6,6,33,0.233766474,,7,,O7,13095065,13095065,,409.22309,0.209616427,22.9,409.2231758
16,11,11,12,0.421352637,1,12,,N1O12,4389065,4389065,,410.03606,1.067660812,6.3,410.0364978
20,15,15,12,0.406113472,1,9,,N1O9,6093421,6093421,,410.05193,-0.429263132,9.6,410.051754
17,10,10,16,0.385007865,1,11,,N1O11,8096029,8096029,,410.07303,-0.358034159,13.4,410.0728832
18,9,9,20,0.348663093,1,10,,N1O10,10171503,10171503,,410.10925,0.045304755,17.3,410.1092686
19,8,8,24,0.312318321,1,9,,N1O9,5393217,5393217,,410.14564,0.034085208,8.2,410.145654
19,16,16,7,0.459541404,,11,,O11,6577746,6577746,,410.99925,0.326472265,10.5,410.9993842
16,11,11,11,0.438435797,,13,,O13,26153090,26153090,,411.02049,0.056882562,47.8,411.0205134
20,15,15,11,0.423196632,,10,,O10,25489573,25489573,,411.03577,-0.001022052,46.5,411.0357696
17,10,10,15,0.419829397,,10,1,O10S1,5205676,5205676,,411.03884,0.731268316,7.9,411.0391406
21,14,14,15,0.404590232,,7,1,O7S1,5857486,5857486,,411.05373,1.622120832,9.1,411.0543968
17,10,10,15,0.402091025,,12,,O12,106296533,106296533,,411.05688,0.045686862,200.6,411.0568988
21,14,14,15,0.386851861,,9,,O9,31149304,31149304,,411.07208,0.182400824,57.3,411.072155
18,9,9,19,0.383484625,,9,1,O9S1,5964031,5964031,,411.07511,1.011930591,9.3,411.075526
18,9,9,19,0.365746254,,11,,O11,189064488,189064488,,411.09322,0.15612004,358.4,411.0932842
22,13,13,19,0.350507089,,8,,O8,26992970,26992970,,411.10851,0.073897516,49.4,411.1085404
19,8,8,23,0.347139853,,8,1,O8S1,4357714,4357714,,411.11171,0.489842047,6.3,411.1119114
19,8,8,23,0.329401482,,10,,O10,305292666,305292666,,411.12959,0.193563992,579.9,411.1296696
23,12,12,23,0.314162317,,7,,O7,26842525,26842525,,411.14488,0.111347355,49.1,411.1449258
20,7,7,27,0.29305671,,9,,O9,157115853,157115853,,411.16597,0.206680243,297.5,411.166055
24,11,11,27,0.277817545,,6,,O6,14663152,14663152,,411.18124,0.173110737,25.9,411.1813112
21,6,6,31,0.256711939,,8,,O8,22023712,22023712,,411.20238,0.146837407,39.9,411.2024404
25,10,10,31,0.241472774,,5,,O5,5948226,5948226,,411.21753,0.405089327,9.3,411.2176966
19,15,15,10,0.429058936,1,10,,N1O10,7183103,7183103,,412.03078,0.579033833,11.4,412.0310186
16,10,10,14,0.407953329,1,12,,N1O12,7309872,7309872,,412.05226,-0.272344412,11.6,412.0521478
20,14,14,14,0.392714165,1,9,,N1O9,12771283,12771283,,412.06746,-0.135948875,21.8,412.067404
17,9,9,18,0.371608558,1,11,,N1O11,11660547,11660547,,412.08862,-0.210683125,19.7,412.0885332
21,13,13,18,0.356369393,1,8,,N1O8,8268838,8268838,,412.1041,-0.753742402,13.4,412.1037894
18,8,8,22,0.335263786,1,10,,N1O10,9463126,9463126,,412.12502,-0.246090676,15.6,412.1249186
19,15,15,9,0.446142097,,11,,O11,28592715,28592715,,413.01497,0.155393617,51.3,413.0150342
16,10,10,13,0.442774861,,11,1,O11S1,5703762,5703762,,413.01825,0.375721513,8.6,413.0184052
20,14,14,13,0.427535696,,8,1,O8S1,4370291,4370291,,413.03289,1.867595724,6.1,413.0336614
16,10,10,13,0.42503649,,13,,O13,54843003,54843003,,413.03607,0.226081656,100.2,413.0361634
20,14,14,13,0.409797325,,10,,O10,61208222,61208222,,413.0513,0.289503665,112.1,413.0514196
17,9,9,17,0.406430089,,10,1,O10S1,4870053,4870053,,413.05456,0.558230785,7.1,413.0547906
19,14,14,13,0.398576469,2,9,,N2O9,4343736,4343736,,413.06258,0.176679977,6.1,413.062653
21,13,13,17,0.391190925,,7,1,O7S1,4533961,4533961,,413.06995,0.234294161,6.4,413.0700468
17,9,9,17,0.388691718,,12,,O12,128222926,128222926,,413.07244,0.263343329,237,413.0725488
21,13,13,17,0.373452553,,9,,O9,61873905,61873905,,413.08767,0.326758375,113.3,413.087805
18,8,8,21,0.370085318,,9,1,O9S1,7778808,7778808,,413.09047,1.70901714,12.5,413.091176
18,8,8,21,0.352346947,,11,,O11,193402657,193402657,,413.10879,0.349011818,358.5,413.1089342
22,12,12,21,0.337107782,,8,,O8,63924036,63924036,,413.12406,0.31559493,117.1,413.1241904
19,7,7,25,0.333740546,,8,1,O8S1,5085899,5085899,,413.127,1.358853663,7.5,413.1275614
19,7,7,25,0.316002175,,10,,O10,170792821,170792821,,413.14519,0.313642425,316.3,413.1453196
23,11,11,25,0.30076301,,7,,O7,56508312,56508312,,413.16044,0.328637116,103.3,413.1605758
20,6,6,29,0.279657403,,9,,O9,52352969,52352969,,413.18156,0.350886543,95.6,413.181705
24,10,10,29,0.264418238,,6,,O6,25273836,25273836,,413.1968,0.390080071,45.1,413.1969612
21,5,5,33,0.243312631,,8,,O8,5056411,5056411,,413.21755,1.30773534,7.4,413.2180904
18,15,15,8,0.452004401,1,11,,N1O11,4408507,4408507,,414.01007,0.514914505,6.2,414.0102832
19,14,14,12,0.415659629,1,10,,N1O10,10364815,10364815,,414.04663,0.093177661,17.3,414.0466686
20,13,13,16,0.379314857,1,9,,N1O9,10190052,10190052,,414.08316,-0.256035834,17,414.083054
17,8,8,20,0.35820925,1,11,,N1O11,7077396,7077396,,414.10432,-0.330400188,11.2,414.1041832
21,12,12,20,0.342970086,1,8,,N1O8,7281720,7281720,,414.11965,-0.508597472,11.6,414.1194394
18,15,15,7,0.469087562,,12,,O12,10300705,10300705,,414.99427,0.069350109,17.2,414.9942988
15,10,10,11,0.447981955,,14,,O14,5780945,5780945,,415.01516,0.645710694,8.8,415.015428
19,14,14,11,0.43274279,,11,,O11,62122101,62122101,,415.03054,0.34739576,113.8,415.0306842
16,9,9,15,0.429375554,,11,1,O11S1,5441020,5441020,,415.03385,0.494368829,8.1,415.0340552
23,18,18,11,0.417503625,,8,,O8,5164696,5164696,,415.04589,0.121383912,7.6,415.0459404
16,9,9,15,0.411637183,,13,,O13,53387430,53387430,,415.05172,0.224983718,97.5,415.0518134
20,13,13,15,0.396398018,,10,,O10,89295049,89295049,,415.06695,0.288097777,164.4,415.0670696
17,8,8,19,0.393030782,,10,1,O10S1,4904912,4904912,,415.0701,0.820535183,7.1,415.0704406
19,13,13,15,0.385177161,2,9,,N2O9,5535715,5535715,,415.07809,0.513107764,8.3,415.078303
17,8,8,19,0.375292411,,12,,O12,83802362,83802362,,415.08808,0.286155811,154.2,415.0881988
21,12,12,19,0.360053246,,9,,O9,95228190,95228190,,415.10333,0.301081329,175.5,415.103455
18,7,7,23,0.35668601,,9,1,O9S1,6747429,6747429,,415.10667,0.375758456,10.6,415.106826
18,7,7,23,0.338947639,,11,,O11,96102735,96102735,,415.12444,0.34731718,177.1,415.1245842
22,11,11,23,0.323708475,,8,,O8,118212978,118212978,,415.1397,0.338150874,218.3,415.1398404
19,6,6,27,0.302602868,,10,,O10,43757987,43757987,,415.16086,0.263945573,79.5,415.1609696
23,10,10,27,0.287363703,,7,,O7,81603015,81603015,,415.17607,0.375213922,150.1,415.1762258
20,5,5,31,0.266258096,,9,,O9,8728824,8728824,,415.19724,0.276928306,14.2,415.197355
24,9,9,31,0.251018931,,6,,O6,25967131,25967131,,415.21244,0.412270474,46.4,415.2126112
18,14,14,10,0.438605094,1,11,,N1O11,7926660,7926660,,416.026,-0.160615228,12.8,416.0259332
19,13,13,14,0.402260322,1,10,,N1O10,16011226,16011226,,416.06248,-0.387970967,27.8,416.0623186
20,12,12,18,0.36591555,1,9,,N1O9,13018158,13018158,,416.09868,0.057630316,22.2,416.098704
21,11,11,22,0.329570778,1,8,,N1O8,9460612,9460612,,416.13531,-0.530164616,15.6,416.1350894
22,10,10,26,0.293226007,1,7,,N1O7,4499673,4499673,,416.17159,-0.276857274,6.4,416.1714748
18,14,14,9,0.455688254,,12,,O12,31127179,31127179,,417.00984,0.260856846,56,417.0099488
15,9,9,13,0.434582647,,14,,O14,9977789,9977789,,417.03103,0.115051138,16.6,417.031078
19,13,13,13,0.419343483,,11,,O11,112667361,112667361,,417.04622,0.273782289,208,417.0463342
16,8,8,17,0.415976247,,11,1,O11S1,7193192,7193192,,417.0492,1.211318204,11.4,417.0497052
18,13,13,13,0.408122626,2,10,,N2O10,6393339,6393339,,417.05745,0.281927266,9.9,417.0575676
23,17,17,13,0.404104318,,8,,O8,4705797,4705797,,417.06166,-0.166930021,6.7,417.0615904
20,12,12,17,0.400737082,,8,1,O8S1,5882636,5882636,,417.06427,1.657727126,8.9,417.0649614
16,8,8,17,0.398237876,,13,,O13,31357714,31357714,,417.06731,0.367758009,56.4,417.0674634
20,12,12,17,0.382998711,,10,,O10,134257463,134257463,,417.08259,0.310681536,248.2,417.0827196
19,12,12,17,0.371777854,2,9,,N2O9,7228625,7228625,,417.09383,0.294849396,11.4,417.093953
24,16,16,17,0.367759546,,7,,O7,4971994,4971994,,417.09767,0.733112884,7.2,417.0979758
17,7,7,21,0.361893104,,12,,O12,28887913,28887913,,417.10376,0.212848431,51.8,417.1038488
21,11,11,21,0.346653939,,9,,O9,168401805,168401805,,417.11895,0.371548314,311.9,417.119105
20,11,11,21,0.335433082,2,8,,N2O8,5079591,5079591,,417.13016,0.427635882,7.4,417.1303384
18,6,6,25,0.325548332,,11,,O11,21925310,21925310,,417.1401,0.321666166,38.8,417.1402342
22,10,10,25,0.310309167,,8,,O8,187767779,187767779,,417.15531,0.432404473,348,417.1554904
19,5,5,29,0.28920356,,10,,O10,4995348,4995348,,417.1762,1.005760822,7.3,417.1766196
23,9,9,29,0.273964396,,7,,O7,84216888,84216888,,417.19173,0.349431301,154.9,417.1918758
24,8,8,33,0.237619624,,6,,O6,15420046,15420046,,417.22812,0.338375688,26.7,417.2282612
18,13,13,12,0.425205786,1,11,,N1O11,11920408,11920408,,418.04175,-0.39905145,20.2,418.0415832
19,12,12,16,0.388861015,1,10,,N1O10,19161710,19161710,,418.07807,-0.242586569,33.7,418.0779686
20,11,11,20,0.352516243,1,9,,N1O9,14188228,14188228,,418.1144,-0.110065822,23.8,418.114354
21,10,10,24,0.316171471,1,8,,N1O8,8392476,8392476,,418.15083,-0.216716345,13.3,418.1507394
17,14,14,7,0.478633719,,13,,O13,5846513,5846513,,418.98907,0.342204275,8.7,418.9892134
18,13,13,11,0.442288947,,12,,O12,74478920,74478920,,419.0255,0.235737149,133.6,419.0255988
22,17,17,11,0.427049782,,9,,O9,8957165,8957165,,419.04065,0.489164475,14.3,419.040855
19,12,12,15,0.423682546,,9,1,O9S1,5762932,5762932,,419.04373,1.183597982,8.5,419.044226
15,8,8,15,0.42118334,,14,,O14,5958522,5958522,,419.04654,0.448589352,8.9,419.046728
19,12,12,15,0.405944175,,11,,O11,168803744,168803744,,419.06185,0.320191058,305.3,419.0619842
18,12,12,15,0.394723319,2,10,,N2O10,7123642,7123642,,419.07291,0.733952653,11,419.0732176
23,16,16,15,0.390705011,,8,,O8,9414852,9414852,,419.07715,0.215664062,15.1,419.0772404
16,7,7,19,0.384838568,,13,,O13,9212626,9212626,,419.08293,0.437574061,14.8,419.0831134
20,11,11,19,0.369599404,,10,,O10,185982455,185982455,,419.0982,0.404630302,336.5,419.0983696
19,11,11,19,0.358378547,2,9,,N2O9,8149010,8149010,,419.1094,0.484312215,12.8,419.109603
24,15,15,19,0.354360239,,7,,O7,6497435,6497435,,419.11339,0.562567966,9.8,419.1136258
17,6,6,23,0.348493797,,12,,O12,5421866,5421866,,419.11929,0.498139315,7.9,419.1194988
21,10,10,23,0.333254632,,9,,O9,270814798,270814798,,419.13458,0.417478861,490.9,419.134755
25,14,14,23,0.318015467,,6,,O6,5220979,5220979,,419.14975,0.62311796,7.5,419.1500112
22,9,9,27,0.29690986,,8,,O8,223456934,223456934,,419.17096,0.430325189,404.7,419.1711404
26,13,13,27,0.281670695,,5,,O5,4576714,4576714,,419.18605,0.826791859,6.3,419.1863966
23,8,8,31,0.260565088,,7,,O7,57540349,57540349,,419.20739,0.323896618,102.7,419.2075258
24,7,7,35,0.224220317,,6,,O6,6171221,6171221,,419.24376,0.360601301,9.2,419.2439112
17,13,13,10,0.448151251,1,12,,N1O12,6200876,6200876,,420.02086,-0.029094032,9.3,420.0208478
18,12,12,14,0.411806479,1,11,,N1O11,20169989,20169989,,420.05739,-0.373330317,34.7,420.0572332
19,11,11,18,0.375461708,1,10,,N1O10,23244125,23244125,,420.0937,-0.19381418,40.3,420.0936186
20,10,10,22,0.339116936,1,9,,N1O9,11151029,11151029,,420.13018,-0.418965792,18.3,420.130004
21,9,9,26,0.302772164,1,8,,N1O8,5164046,5164046,,420.16664,-0.59647822,7.4,420.1663894
17,13,13,9,0.465234412,,13,,O13,17269262,17269262,,421.00469,0.411823984,29.4,421.0048634
21,17,17,9,0.449995247,,10,,O10,10414387,10414387,,421.01994,0.426535198,17,421.0201196
18,12,12,13,0.446628011,,10,1,O10S1,5349179,5349179,,421.02319,0.713926673,7.7,421.0234906
18,12,12,13,0.42888964,,12,,O12,134434919,134434919,,421.04111,0.329611173,242.7,421.0412488
17,12,12,13,0.417668783,2,11,,N2O11,6115843,6115843,,421.05243,0.123927306,9.1,421.0524822
22,16,16,13,0.413650475,,9,,O9,14045580,14045580,,421.05638,0.296824532,23.6,421.056505
19,11,11,17,0.392544868,,11,,O11,185757888,185757888,,421.07748,0.36615552,336.1,421.0776342
18,11,11,17,0.381324011,2,10,,N2O10,9319132,9319132,,421.08893,-0.14823498,15,421.0888676
23,15,15,17,0.377305703,,8,,O8,10247654,10247654,,421.09283,0.143388552,16.7,421.0928904
20,10,10,21,0.373938467,,8,1,O8S1,5835245,5835245,,421.09579,1.119411268,8.6,421.0962614
20,10,10,21,0.356200096,,10,,O10,278536473,278536473,,421.11386,0.378947013,505,421.1140196
19,10,10,21,0.34497924,2,9,,N2O9,6553269,6553269,,421.12517,0.197043277,9.9,421.125253
24,14,14,21,0.340960932,,7,,O7,10087487,10087487,,421.12921,0.15619883,16.4,421.1292758
21,9,9,25,0.319855325,,9,,O9,359448947,359448947,,421.15022,0.439225269,652.3,421.150405
25,13,13,25,0.30461616,,6,,O6,6479768,6479768,,421.16543,0.548904911,9.8,421.1656612
22,8,8,29,0.283510553,,8,,O8,165933516,165933516,,421.18662,0.40452337,300,421.1867904
23,7,7,33,0.247165781,,7,,O7,22940198,22940198,,421.22309,0.203644778,39.8,421.2231758
17,12,12,12,0.434751944,1,12,,N1O12,8137473,8137473,,422.03641,0.207991253,12.8,422.0364978
21,16,16,12,0.419512779,1,9,,N1O9,5770279,5770279,,422.0517,0.12789877,8.5,422.051754
18,11,11,16,0.398407172,1,11,,N1O11,21738588,21738588,,422.07304,-0.371547442,37.6,422.0728832
22,15,15,16,0.383168007,1,8,,N1O8,5304322,5304322,,422.0883,-0.380536871,7.7,422.0881394
19,10,10,20,0.3620624,1,10,,N1O10,17758902,17758902,,422.10951,-0.571937453,30.3,422.1092686
20,9,9,24,0.325717629,1,9,,N1O9,11260689,11260689,,422.1458,-0.345899807,18.5,422.145654
20,17,17,7,0.472940711,,11,,O11,5364070,5364070,,422.99931,0.175366449,7.8,422.9993842
17,12,12,11,0.451835104,,13,,O13,50064283,50064283,,423.02043,0.197106044,89.1,423.0205134
21,16,16,11,0.43659594,,10,,O10,20971969,20971969,,423.03567,0.23539357,36.2,423.0357696
18,11,11,15,0.433228704,,10,1,O10S1,5452489,5452489,,423.03879,0.828717408,7.9,423.0391406
18,11,11,15,0.415490333,,12,,O12,157336566,157336566,,423.05675,0.351678227,284.4,423.0568988
22,15,15,15,0.400251168,,9,,O9,25176605,25176605,,423.07204,0.271773736,43.8,423.072155
19,10,10,19,0.396883932,,9,1,O9S1,4842532,4842532,,423.07492,1.432320857,6.8,423.075526
19,10,10,19,0.379145561,,11,,O11,208393298,208393298,,423.09313,0.364411126,377.3,423.0932842
18,10,10,19,0.367924704,2,10,,N2O10,7671918,7671918,,423.10425,0.632420333,12,423.1045176
23,14,14,19,0.363906396,,8,,O8,20681336,20681336,,423.10836,0.426320631,35.6,423.1085404
20,9,9,23,0.36053916,,8,1,O8S1,5384063,5384063,,423.11129,1.468594675,7.8,423.1119114
20,9,9,23,0.342800789,,10,,O10,355890349,355890349,,423.12953,0.329875001,645.8,423.1296696
24,13,13,23,0.327561624,,7,,O7,15418579,15418579,,423.14474,0.439045558,26.1,423.1449258
21,8,8,27,0.306456017,,9,,O9,262763784,262763784,,423.1659,0.36623897,476.3,423.166055
25,12,12,27,0.291216853,,6,,O6,13242415,13242415,,423.18109,0.522659896,22.1,423.1813112
22,7,7,31,0.270111246,,8,,O8,66770276,66770276,,423.20228,0.378967333,119.5,423.2024404
23,6,6,35,0.233766474,,7,,O7,5124031,5124031,,423.23855,0.651594049,7.3,423.2388258
17,11,11,14,0.421352637,1,12,,N1O12,10654153,10654153,,424.05234,-0.453293542,17.4,424.0521478
21,15,15,14,0.406113472,1,9,,N1O9,6435185,6435185,,424.06774,-0.792374271,9.7,424.067404
18,10,10,18,0.385007865,1,11,,N1O11,13850150,13850150,,424.08874,-0.487681424,23.2,424.0885332
19,9,9,22,0.348663093,1,10,,N1O10,12195970,12195970,,424.12507,-0.357017693,20.2,424.1249186
20,8,8,26,0.312318321,1,9,,N1O9,5828319,5828319,,424.16146,-0.367831998,8.6,424.161304
20,16,16,9,0.459541404,,11,,O11,19416930,19416930,,425.01493,0.245120505,32.5,425.0150342
17,11,11,13,0.456174168,,11,1,O11S1,5342058,5342058,,425.01826,0.341584972,7.5,425.0184052
21,15,15,13,0.440935003,,8,1,O8S1,6975377,6975377,,425.03346,0.473797533,10.4,425.0336614
17,11,11,13,0.438435797,,13,,O13,68390808,68390808,,425.03609,0.172643898,119.6,425.0361634
21,15,15,13,0.423196632,,10,,O10,34552767,34552767,,425.05131,0.257803868,59.4,425.0514196
18,10,10,17,0.419829397,,10,1,O10S1,6069575,6069575,,425.0546,0.448365491,8.8,425.0547906
18,10,10,17,0.402091025,,12,,O12,148097013,148097013,,425.07246,0.20885823,261.2,425.0725488
22,14,14,17,0.386851861,,9,,O9,35951644,35951644,,425.08769,0.270485059,61.9,425.087805
19,9,9,21,0.383484625,,9,1,O9S1,8060325,8060325,,425.09084,0.790371382,12.4,425.091176
19,9,9,21,0.365746254,,11,,O11,252332114,252332114,,425.10879,0.339159892,446.4,425.1089342
23,13,13,21,0.350507089,,8,,O8,34283642,34283642,,425.12409,0.236119003,59,425.1241904
20,8,8,25,0.347139853,,8,1,O8S1,5794178,5794178,,425.12719,0.873572861,8.3,425.1275614
20,8,8,25,0.329401482,,10,,O10,291850416,291850416,,425.14517,0.351832404,516.7,425.1453196
24,12,12,25,0.314162317,,7,,O7,26384600,26384600,,425.16046,0.272320405,44.9,425.1605758
21,7,7,29,0.29305671,,9,,O9,102529294,102529294,,425.18156,0.340983392,180.2,425.181705
25,11,11,29,0.277817545,,6,,O6,12677941,12677941,,425.19685,0.261478586,20.6,425.1969612
22,6,6,33,0.256711939,,8,,O8,13880171,13880171,,425.21787,0.518274986,22.7,425.2180904
20,15,15,12,0.429058936,1,10,,N1O10,7730885,7730885,,426.04691,-0.566651773,11.8,426.0466686
17,10,10,16,0.407953329,1,12,,N1O12,9857275,9857275,,426.06778,0.041730213,15.5,426.0677978
21,14,14,16,0.392714165,1,9,,N1O9,7561251,7561251,,426.08317,-0.272294565,11.5,426.083054
18,9,9,20,0.371608558,1,11,,N1O11,12250202,12250202,,426.10433,-0.344563855,19.8,426.1041832
22,13,13,20,0.356369393,1,8,,N1O8,6028673,6028673,,426.11958,-0.330001607,8.7,426.1194394
19,8,8,24,0.335263786,1,10,,N1O10,8259512,8259512,,426.14081,-0.566526911,12.7,426.1405686
19,16,16,7,0.482486869,,12,,O12,8685411,8685411,,426.99412,0.418693881,13.5,426.9942988
16,11,11,11,0.461381262,,14,,O14,12733339,12733339,,427.01534,0.206034476,20.6,427.015428
20,15,15,11,0.446142097,,11,,O11,48218051,48218051,,427.03058,0.243963499,83.7,427.0306842
17,10,10,15,0.442774861,,11,1,O11S1,5880523,5880523,,427.03369,0.855154046,8.5,427.0340552
21,14,14,15,0.427535696,,8,1,O8S1,5305843,5305843,,427.04915,0.377895235,7.5,427.0493114
17,10,10,15,0.42503649,,13,,O13,84579322,84579322,,427.05172,0.218661757,148.3,427.0518134
21,14,14,15,0.409797325,,10,,O10,63734818,63734818,,427.06697,0.233171572,111.3,427.0670696
18,9,9,19,0.406430089,,10,1,O10S1,6366123,6366123,,427.07035,0.212095925,9.3,427.0704406
18,9,9,19,0.388691718,,12,,O12,145665113,145665113,,427.08809,0.254701254,256.9,427.0881988
22,13,13,19,0.373452553,,9,,O9,57486465,57486465,,427.10338,0.175554422,100.2,427.103455
19,8,8,23,0.370085318,,9,1,O9S1,5691273,5691273,,427.10652,0.716401334,8.1,427.106826
19,8,8,23,0.352346947,,11,,O11,205987000,205987000,,427.12443,0.36097173,364.1,427.1245842
23,12,12,23,0.337107782,,8,,O8,59745504,59745504,,427.1397,0.328650917,104.2,427.1398404
20,7,7,27,0.316002175,,10,,O10,127872279,127872279,,427.1608,0.396992965,225.3,427.1609696
24,11,11,27,0.30076301,,7,,O7,47960383,47960383,,427.17604,0.434902246,83.2,427.1762258
21,6,6,31,0.279657403,,9,,O9,24410486,24410486,,427.1972,0.362782911,41.4,427.197355
25,10,10,31,0.264418238,,6,,O6,16515486,16515486,,427.21254,0.166614697,27.4,427.2126112
22,5,5,35,0.243312631,,8,,O8,6397653,6397653,,427.2337,0.094514773,9.4,427.2337404
19,15,15,10,0.452004401,1,11,,N1O11,5857012,5857012,,428.02589,0.100881504,8.4,428.0259332
20,14,14,14,0.415659629,1,10,,N1O10,14553172,14553172,,428.06235,-0.073400761,23.9,428.0623186
17,9,9,18,0.394554022,1,12,,N1O12,6295564,6295564,,428.08352,-0.168705659,9.2,428.0834478
21,13,13,18,0.379314857,1,9,,N1O9,11557301,11557301,,428.09887,-0.387807995,18.6,428.098704
18,8,8,22,0.35820925,1,11,,N1O11,5693804,5693804,,428.12011,-0.646594898,8.1,428.1198332
22,12,12,22,0.342970086,1,8,,N1O8,7490581,7490581,,428.13527,-0.421876423,11.3,428.1350894
19,15,15,9,0.469087562,,12,,O12,30329884,30329884,,429.00984,0.25356032,51.9,429.0099488
16,10,10,13,0.447981955,,14,,O14,22010452,22010452,,429.03098,0.228374831,37.1,429.031078
20,14,14,13,0.43274279,,11,,O11,84652157,84652157,,429.04626,0.172894846,148.4,429.0463342
17,9,9,17,0.411637183,,13,,O13,71035061,71035061,,429.06739,0.171021823,124.2,429.0674634
21,13,13,17,0.396398018,,10,,O10,88746205,88746205,,429.08264,0.185465171,155.7,429.0827196
20,13,13,17,0.385177161,2,9,,N2O9,6347259,6347259,,429.09388,0.170079069,9.3,429.093953
18,8,8,21,0.375292411,,12,,O12,89450773,89450773,,429.10376,0.20689607,157,429.1038488
22,12,12,21,0.360053246,,9,,O9,102035774,102035774,,429.11902,0.198033364,179.3,429.119105
19,7,7,25,0.35668601,,9,1,O9S1,7374406,7374406,,429.12219,0.666429554,11.1,429.122476
19,7,7,25,0.338947639,,11,,O11,82686326,82686326,,429.1401,0.312671452,144.9,429.1402342
23,11,11,25,0.323708475,,8,,O8,110104990,110104990,,429.15535,0.327107315,193.7,429.1554904
20,6,6,29,0.302602868,,10,,O10,27968982,27968982,,429.17647,0.348527606,47.7,429.1766196
24,10,10,29,0.287363703,,7,,O7,61567487,61567487,,429.19173,0.339661369,107.4,429.1918758
25,9,9,33,0.251018931,,6,,O6,9997151,9997151,,429.22808,0.422106176,15.8,429.2282612
